time,open,high,low,close,tick_volume,spread,real_volume
2024-11-05 20:00:00,2741.99,2743.88,2739.61,2740.5,2110,14,0
2024-11-05 20:30:00,2740.58,2741.96,2739.34,2741.23,1763,14,0
2024-11-05 21:00:00,2741.23,2742.22,2739.53,2740.61,1627,14,0
2024-11-05 21:30:00,2740.79,2742.28,2740.07,2740.47,1439,14,0
2024-11-05 22:00:00,2740.36,2741.96,2739.65,2741.61,1231,14,0
2024-11-05 22:30:00,2741.59,2743.51,2740.34,2743.03,1338,14,0
2024-11-05 23:00:00,2743.14,2744.9,2742.57,2744.63,645,14,0
2024-11-05 23:30:00,2744.65,2744.96,2743.46,2743.72,718,15,0
2024-11-06 01:00:00,2743.32,2744.09,2741.99,2743.77,864,5,0
2024-11-06 01:30:00,2743.77,2746.42,2742.94,2745.71,1185,5,0
2024-11-06 02:00:00,2745.7,2745.72,2735.34,2737.45,2266,5,0
2024-11-06 02:30:00,2737.41,2740.18,2736.52,2737.99,2525,6,0
2024-11-06 03:00:00,2738.51,2742.62,2732.64,2741.13,3081,14,0
2024-11-06 03:30:00,2741.16,2749.69,2740.29,2747.09,3064,14,0
2024-11-06 04:00:00,2746.88,2748.39,2742.75,2746.32,3038,14,0
2024-11-06 04:30:00,2745.73,2745.73,2736.71,2737.49,3192,13,0
2024-11-06 05:00:00,2737.52,2743.5,2730.69,2731.44,3139,5,0
2024-11-06 05:30:00,2731.32,2738.22,2730.71,2734.12,2931,12,0
2024-11-06 06:00:00,2734.12,2739.16,2733.39,2736.25,2611,6,0
2024-11-06 06:30:00,2736.12,2742.96,2736.11,2741.82,2517,5,0
2024-11-06 07:00:00,2741.99,2743.65,2738.25,2739.58,2735,12,0
2024-11-06 07:30:00,2739.62,2741.35,2736.4,2739.05,2953,14,0
2024-11-06 08:00:00,2738.79,2739.33,2715.53,2717.38,3013,8,0
2024-11-06 08:30:00,2717.4,2720.76,2701.5,2706.84,3367,7,0
2024-11-06 09:00:00,2707.01,2733.16,2704.19,2725.71,3051,5,0
2024-11-06 09:30:00,2725.58,2728.83,2719.67,2725.89,2978,13,0
2024-11-06 10:00:00,2725.56,2733.67,2723.18,2729.28,2982,9,0
2024-11-06 10:30:00,2729.27,2730.89,2722.82,2724.51,2750,14,0
2024-11-06 11:00:00,2724.48,2728.5,2719.3,2722.36,2613,7,0
2024-11-06 11:30:00,2722.21,2726.09,2716.45,2724.65,2375,10,0
2024-11-06 12:00:00,2724.53,2727.06,2722.17,2725.12,2257,5,0
2024-11-06 12:30:00,2725.33,2727.12,2718.7,2720.25,2230,12,0
2024-11-06 13:00:00,2720.22,2722.72,2711.06,2711.07,2362,8,0
2024-11-06 13:30:00,2711.02,2712.71,2696.27,2699.39,2954,5,0
2024-11-06 14:00:00,2698.46,2707.99,2698.46,2700.16,2795,13,0
2024-11-06 14:30:00,2700.44,2703.13,2693.44,2695.14,2810,5,0
2024-11-06 15:00:00,2694.81,2694.81,2675.75,2676.43,3393,5,0
2024-11-06 15:30:00,2675.89,2676.51,2659.14,2664.12,3349,5,0
2024-11-06 16:00:00,2663.89,2670.36,2657.05,2659.61,3202,6,0
2024-11-06 16:30:00,2659.47,2662.42,2652.44,2659.81,3386,5,0
2024-11-06 17:00:00,2659.83,2668.62,2657.47,2668.3,3295,5,0
2024-11-06 17:30:00,2668.24,2675.89,2666.9,2675.77,3212,5,0
2024-11-06 18:00:00,2675.93,2678.18,2662.95,2668.01,3106,7,0
2024-11-06 18:30:00,2668.02,2670.41,2665.29,2666.19,2669,11,0
2024-11-06 19:00:00,2666.2,2669.23,2664.5,2666.85,2553,9,0
2024-11-06 19:30:00,2666.81,2667.63,2661.54,2663.24,2399,14,0
2024-11-06 20:00:00,2663.35,2669.57,2662.83,2668.06,2710,5,0
2024-11-06 20:30:00,2668.15,2668.27,2664.16,2665.57,2141,12,0
2024-11-06 21:00:00,2665.63,2668.47,2664.96,2667.42,2184,14,0
2024-11-06 21:30:00,2667.41,2668.18,2665.6,2667.02,2129,14,0
2024-11-06 22:00:00,2667.07,2667.7,2662.48,2662.6,1897,14,0
2024-11-06 22:30:00,2662.6,2663.0,2659.35,2660.68,1993,13,0
2024-11-06 23:00:00,2660.68,2662.41,2659.2,2660.59,843,14,0
2024-11-06 23:30:00,2660.6,2660.97,2658.89,2658.94,656,14,0
2024-11-07 01:00:00,2659.18,2664.33,2659.08,2662.71,1055,5,0
2024-11-07 01:30:00,2662.71,2664.3,2661.11,2664.07,1148,14,0
2024-11-07 02:00:00,2664.05,2664.13,2660.95,2662.97,1487,12,0
2024-11-07 02:30:00,2663.03,2664.2,2660.96,2661.52,1510,14,0
2024-11-07 03:00:00,2661.43,2663.94,2643.33,2650.67,3161,5,0
2024-11-07 03:30:00,2650.54,2651.19,2646.03,2649.44,2935,14,0
2024-11-07 04:00:00,2649.41,2657.24,2649.41,2653.71,2604,6,0
2024-11-07 04:30:00,2653.6,2657.55,2651.08,2657.44,2729,8,0
2024-11-07 05:00:00,2657.51,2659.48,2655.69,2656.49,2434,14,0
2024-11-07 05:30:00,2656.57,2661.24,2656.55,2659.24,1830,14,0
2024-11-07 06:00:00,2659.21,2659.66,2656.54,2657.61,1766,5,0
2024-11-07 06:30:00,2657.65,2658.27,2654.14,2654.61,1494,11,0
2024-11-07 07:00:00,2654.72,2659.65,2654.72,2657.88,1772,14,0
2024-11-07 07:30:00,2658.15,2660.69,2656.77,2659.31,2346,14,0
2024-11-07 08:00:00,2659.13,2659.5,2652.82,2656.22,2559,12,0
2024-11-07 08:30:00,2656.21,2657.59,2655.03,2657.05,2216,6,0
2024-11-07 09:00:00,2657.08,2667.57,2656.15,2664.63,2607,14,0
2024-11-07 09:30:00,2664.64,2667.22,2662.67,2663.31,2219,12,0
2024-11-07 10:00:00,2663.59,2666.69,2661.84,2662.95,2603,5,0
2024-11-07 10:30:00,2662.94,2663.29,2657.47,2657.67,2331,14,0
2024-11-07 11:00:00,2657.52,2666.03,2657.52,2664.58,2246,5,0
2024-11-07 11:30:00,2664.57,2665.23,2661.52,2661.62,1993,13,0
2024-11-07 12:00:00,2661.64,2668.16,2659.85,2665.3,2065,12,0
2024-11-07 12:30:00,2665.21,2668.39,2664.95,2666.59,1927,5,0
2024-11-07 13:00:00,2666.55,2666.93,2663.97,2665.34,1879,5,0
2024-11-07 13:30:00,2665.36,2668.07,2663.83,2666.18,1781,6,0
2024-11-07 14:00:00,2666.19,2668.73,2664.23,2666.58,2331,7,0
2024-11-07 14:30:00,2666.55,2674.09,2666.48,2673.65,2301,14,0
2024-11-07 15:00:00,2673.81,2683.2,2672.38,2680.53,3119,5,0
2024-11-07 15:30:00,2680.62,2685.06,2678.11,2684.51,3097,12,0
2024-11-07 16:00:00,2684.73,2690.92,2682.38,2690.0,2889,5,0
2024-11-07 16:30:00,2689.68,2694.95,2688.11,2691.81,3166,13,0
2024-11-07 17:00:00,2691.56,2699.85,2690.13,2698.91,3066,11,0
2024-11-07 17:30:00,2698.87,2700.09,2695.54,2698.79,2942,13,0
2024-11-07 18:00:00,2698.7,2699.45,2690.68,2691.86,2904,12,0
2024-11-07 18:30:00,2691.91,2697.6,2691.91,2695.79,2547,5,0
2024-11-07 19:00:00,2695.87,2699.58,2694.3,2699.18,2175,14,0
2024-11-07 19:30:00,2699.18,2700.21,2698.11,2699.21,2180,15,0
2024-11-07 20:00:00,2699.32,2699.32,2695.99,2698.01,2220,14,0
2024-11-07 20:30:00,2698.16,2699.31,2694.01,2695.1,1777,14,0
2024-11-07 21:00:00,2695.09,2698.01,2688.75,2690.57,2909,10,0
2024-11-07 21:30:00,2690.58,2696.0,2687.56,2694.25,3018,14,0
2024-11-07 22:00:00,2694.38,2710.27,2692.83,2707.27,2897,11,0
2024-11-07 22:30:00,2707.21,2708.69,2702.02,2704.48,2294,5,0
2024-11-07 23:00:00,2704.43,2707.39,2703.69,2706.13,1053,14,0
2024-11-07 23:30:00,2706.12,2708.55,2706.1,2706.24,812,10,0
